Population,Dimension,Category,Count,Denominator,Unknown_Count,Percent,Small_Denominator_Flag
COS_ADULT_COMPARATIVE,Overall_Status,COMPLETED,184,359,63,51.253482,NO
COS_ADULT_COMPARATIVE,Overall_Status,NOT_YET_RECRUITING,19,359,63,5.292479,NO
COS_ADULT_COMPARATIVE,Overall_Status,RECRUITING,32,359,63,8.913649,NO
COS_ADULT_COMPARATIVE,Overall_Status,SUSPENDED,2,359,63,0.557103,NO
COS_ADULT_COMPARATIVE,Overall_Status,TERMINATED,39,359,63,10.86351,NO
COS_ADULT_COMPARATIVE,Overall_Status,UNKNOWN,63,359,63,17.548747,NO
COS_ADULT_COMPARATIVE,Overall_Status,WITHDRAWN,10,359,63,2.785515,NO
COS_ADULT_COMPARATIVE,Period,2008-2016,144,359,0,40.111421,NO
COS_ADULT_COMPARATIVE,Period,2017-2018,37,359,0,10.306407,NO
COS_ADULT_COMPARATIVE,Period,2019-2025,178,359,0,49.582173,NO
COS_ADULT_COMPARATIVE,Adult_Relevant_Registry,YES,359,359,0,100.0,NO
COS_ADULT_RANDOMIZED,Study_Type,INTERVENTIONAL,335,335,0,100.0,NO
COS_ADULT_RANDOMIZED,Randomized,YES,335,335,0,100.0,NO
COS_ADULT_RANDOMIZED,Industry_Role,INDUSTRY_COLLABORATOR,21,335,0,6.268657,NO
COS_ADULT_RANDOMIZED,Industry_Role,INDUSTRY_LEAD,113,335,0,33.731343,NO
COS_ADULT_RANDOMIZED,Industry_Role,NO_RECORDED_INDUSTRY_ROLE,201,335,0,60.0,NO
COS_ADULT_RANDOMIZED,Device_Study,NO,188,335,0,56.119403,NO
COS_ADULT_RANDOMIZED,Device_Study,YES,147,335,0,43.880597,NO
COS_ADULT_RANDOMIZED,Country_Scope,MULTICOUNTRY,34,335,27,10.149254,NO
COS_ADULT_RANDOMIZED,Country_Scope,SINGLE_COUNTRY,274,335,27,81.791045,NO
COS_ADULT_RANDOMIZED,Country_Scope,UNKNOWN,27,335,27,8.059701,NO
COS_ADULT_RANDOMIZED,US_Center,NO,188,335,27,56.119403,NO
COS_ADULT_RANDOMIZED,US_Center,UNKNOWN,27,335,27,8.059701,NO
COS_ADULT_RANDOMIZED,US_Center,YES,120,335,27,35.820896,NO
COS_ADULT_RANDOMIZED,Registration_Timing,PROSPECTIVE_OR_SAME_DAY,191,335,0,57.014925,NO
COS_ADULT_RANDOMIZED,Registration_Timing,RETROSPECTIVE,144,335,0,42.985075,NO
COS_ADULT_RANDOMIZED,Overall_Status,ACTIVE_NOT_RECRUITING,10,335,58,2.985075,NO
COS_ADULT_RANDOMIZED,Overall_Status,COMPLETED,168,335,58,50.149254,NO
COS_ADULT_RANDOMIZED,Overall_Status,NOT_YET_RECRUITING,18,335,58,5.373134,NO
COS_ADULT_RANDOMIZED,Overall_Status,RECRUITING,30,335,58,8.955224,NO
COS_ADULT_RANDOMIZED,Overall_Status,SUSPENDED,2,335,58,0.597015,NO
COS_ADULT_RANDOMIZED,Overall_Status,TERMINATED,39,335,58,11.641791,NO
COS_ADULT_RANDOMIZED,Overall_Status,UNKNOWN,58,335,58,17.313433,NO
